Name,Symbol ,Security Number,ISIN_Text,Weight,Market Cap (NIS millions)
LEUMI,LUMI,604611,IL0006046119,5.29177,34610
POALIM,POLI,662577,IL0006625771,5.24345,33743
PERRIGO,PRGO,1130699,IE00BGH1M568,5.10377,35442
TEVA,TEVA,629014,IL0006290147,5.02749,75877
NICE,NICE,273011,IL0002730112,4.95486,23682
ICL,ICL,281014,IL0002810146,4.73936,27140
DISCOUNT,DSCT,691212,IL0006912120,4.06871,13980
SODASTREAM,SODA,1121300,IL0011213001,3.49262,12000
ELBIT SYSTEMS,ESLT,1081124,IL0010811243,3.28867,18833
BEZEQ,BEZQ,230011,IL0002300114,2.70436,11615
MIZRAHI TEFAHOT,MZTF,695437,IL0006954379,2.54524,14577
ORMAT TECHNO,ORA,1134402,US6866881021,2.26229,9724
AZRIELI GROUP,AZRG,1119478,IL0011194789,2.21126,21708
MAZOR ROBOTICS,MZOR,1106855,IL0011068553,1.65604,5706
PAZ OIL,PZOL,1100007,IL0011000077,1.63488,5617
DELEK DRILL L,DEDR.L,475020,IL0004750209,1.60651,12266
TOWER,TSEM,1082379,IL0010823792,1.56779,5387
ISRAEL CORP,ILCO,576017,IL0005760173,1.44651,8284
FIBI BANK,FTIN,593038,IL0005930388,1.38409,7926
ALONY HETZ,ALHE,390013,IL0003900136,1.37971,5929
LIVEPERSON,LPSN,1123017,US5381461012,1.29046,4434
SHUFERSAL,SAE,777037,IL0007770378,1.28472,5518
OPKO HEALTH,OPK,1129543,US68375N1037,1.27068,7277
ISRAMCO       L,ISRA.L,232017,IL0002320179,1.23041,5285
STRAUSS GROUP,STRS,746016,IL0007460160,1.22936,9391
GAZIT GLOBE,GZT,126011,IL0001260111,1.03749,5922
HAREL,HARL,585018,IL0005850180,1.01077,5788
AIRPORT CITY,ARPT,1095835,IL0010958358,0.99767,5713
BAZAN,ORL,2590248,IL0025902482,0.98004,5612
MELISRON,MLSR,323014,IL0003230146,0.91487,6985
PHOENIX,PHOE,767012,IL0007670123,0.91354,5231
AMOT,AMOT,1097278,IL0010972789,0.82517,6302
CLAL INSURANCE,CLIS,224014,IL0002240146,0.80178,3444
DELEK GROUP,DLEKG,1084128,IL0010841281,0.771,7569
REIT 1,RIT1,1098920,IL0010989205,0.72319,2534
PARTNER,PTNR,1083484,IL0010834849,0.71728,3028
JERUSALEM ECON,ECJM,198010,IL0001980106,0.68218,2930
RATIO       L,RATI.L,394015,IL0003940157,0.66902,2929
NOVA,NVMI,1084557,IL0010845571,0.6463,2224
JOEL,JOEL,583013,IL0005830133,0.64426,3689
BAYSIDE LAND,BYSD,759019,IL0007590198,0.59328,3397
ELECTRA,ELTR,739037,IL0007390375,0.56457,3232
IDI INSUR,IDIN,1129501,IL0011295016,0.5361,3070
SHIKUN & BINUI,SKBN,1081942,IL0010819428,0.50439,2888
FORMULA,FORTY,256016,IL0002560162,0.48558,2086
SHAPIR      ENG,SPEN,1133875,IL0011338758,0.47905,4704
MATRIX,MTRX,445015,IL0004450156,0.45937,2631
CELLCOM,CEL,1101534,IL0011015349,0.44985,2576
HILAN,HLAN,1084698,IL0010846983,0.44757,1922
MIGDAL INSUR.,MGDL,1081165,IL0010811656,0.44016,4321
RAMI LEVI,RMLI,1104249,IL0011042491,0.43998,2520
BIG,BIG,1097260,IL0010972607,0.43256,3303
FATTAL,FTAL,1143429,IL0011434292,0.42021,5775
KENON,KEN,1134139,SG9999012629,0.41917,3201
INROM CONST,INRM,1132356,IL0011323560,0.40632,1396
SUMMIT,SMT,1081686,IL0010816861,0.39116,2240
SAPIENS,SPNS,1087659,KYG7T16G1039,0.36348,2081
AFRICA PROERT.,AFPR,1091354,IL0010913544,0.35684,2725
FIBI HOLDINGS,FIBI,763011,IL0007630119,0.35529,3488
SELLA REAL EST,SLARL,1109644,IL0011096448,0.34472,1184
MENORA MIV HLD,MMHD,566018,IL0005660183,0.34332,2621
DELTA,DELT,627034,IL0006270347,0.34179,2610
GILAT,GILT,1082510,IL0010825102,0.3356,1922
MAYTRONICS,MTRN,1091065,IL0010910656,0.31825,2430
BRACK CAPIT N V,BCNV,1121607,NL0009690619,0.31272,3070
AUDIOCODES,AUDC,1082965,IL0010829658,0.30024,1290
NAPHTHA,NFTA,643015,IL0006430156,0.29982,2289
ENLIGHT ENERGY,ENLT,720011,IL0007200111,0.28713,987
ALROV PROPERT,ALRPR,387019,IL0003870198,0.28053,2754
DELEK AUTOMOTIV,DLEA,829010,IL0008290103,0.25585,1953
DANEL,DANE,314013,IL0003140139,0.25184,865
ELCO,ELCO,694034,IL0006940345,0.23808,1805
MAGIC,MGIC,1082312,IL0010823123,0.23454,1343
INDUS BUILDING,IBLD,226019,IL0002260193,0.23397,2297
ISRAS,ISRS,613034,IL0006130343,0.23329,2290
HADERA PAPER,HAP,632018,IL0006320183,0.22338,1711
PROPERT & BUIL,PTBL,699017,IL0006990175,0.21635,1652
MEGA OR,MGOR,1104488,IL0011044885,0.21289,1219
NORSTAR,NSTR,723007,PAL0605071A3,0.19727,1506
BLUE SQ REAL ES,BLSR,1098565,IL0010985658,0.19586,1497
SCOPE,SCOP,288019,IL0002880198,0.19119,1095
BIOTIME,BTX,1136365,US09066L1052,0.19093,902
ARKO HOLDINGS,ARKO,310011,IL0003100117,0.19032,1453
KAMADA,KMDA,1094119,IL0010941198,0.18695,803
ASHTROM PROP,ASPR,251017,IL0002510175,0.17651,1348
DEXIA ISRAEL,DXIL,711010,IL0007110104,0.1754,603
CAMTEK,CAMT,1095264,IL0010952641,0.17474,1001
HAMLET,HAML,1080324,IL0010803240,0.17381,1327
PLASSON INDUS,PLSN,1081603,IL0010816036,0.17147,1683
FOX,FOX,1087022,IL0010870223,0.16753,959
ENERGIX,ENRG,1123355,IL0011233553,0.16316,1602
MEDITR TOWER,MDTR,1131523,IL0011315236,0.16077,921
KERUR,KRUR,621011,IL0006210111,0.15608,1192
CARASSO,CRSO,1123850,IL0011238503,0.15506,1522
NAWI,NAWI,208017,IL0002080179,0.15424,662
NETO,NTO,168013,IL0001680136,0.1499,1145
OPC ENERGY,OPCE,1141571,IL0011415713,0.14947,2568
TAMAR PET,TMRP,1141357,IL0011413577,0.14622,1435
B COMMUNICATION,BCOM,1107663,IL0011076630,0.13329,1018
ONE TECHNOLOGI,ONE,161018,IL0001610182,0.12739,973
ELECTRA CO  PR,ECP,5010129,IL0050101299,0.11617,894
AVGOL,AVGL,1100957,IL0011009573,0.11572,1141
MIVTACH SHAMIR,MISH,127019,IL0001270193,0.11334,649
IES,IES,431015,IL0004310152,0.11232,857
ARAD,ARD,1091651,IL0010916513,0.10996,1079
DIMRI,DIMRI,1090315,IL0010903156,0.10688,1049
ISSTA,ISTA,1081074,IL0010810740,0.10257,783
