,TICNAME,TICNUM,ת. פעולה אחרונה,כמות/ע.נ.,מחיר/שער,שער עלות מותאמת,שינוי משער עלות-באחוזים,שינוי משער עלות-בשקלים,אחוז שינוי יומי,תאריך הכנסה לקבל,סכום הכנסה לקבל,מטבע הכנסה לקבל,שווי בש''ח
,,,,,,,,,,,,,
,כלל עסקי ביטוח,224014,2018-01-02,,,,,68,6400,,,,4352
,מבני תעשיה,226019,23/04/2018,204,506.3,473.598,6.9,66.71,1.36,,,,1032.85
,אשטרום נכסים,251017,16/09/2018,63,1571,1569.381,0.1,1.01,0.51,,,,989.73
,פורמולה מערכות,256016,20/06/2018,16,13950,14758.6875,-5.47,-129.39,1.45,,,,2232
,סקופ,288019,14/06/2018,11,10110,9513,6.27,65.66,1.5,,,,1112.1
,אלרוב נדלן,387019,12/04/2018,8,11220,11836.875,-5.21,-49.35,0.62,,,,897.6
,אלוני חץ,390013,06/09/2018,37,3509,3304.7568,6.18,75.56,0.31,,,,1298.33
,יואל,583013,22/01/2018,13,21540,21468.4615,0.33,9.3,-0.59,,,,2800.2
,קרור,621011,26/04/2018,10,9510,10810,-12.02,-130,1.35,,,,951
,דלתא,627034,04/09/2018,8,10400,11759.25,-11.55,-108.74,-0.47,,,,832
,אלקו,694034,23/04/2018,14,6501,7400,-12.14,-125.86,0.72,,,,910.14
,נכסים ובנין,699017,23/04/2018,4,26500,29120,-8.99,-104.8,0.79,,,,1060
,נורסטאר,723007,23/04/2018,15,5829,6690,-12.86,-129.15,-0.46,,,,874.35
,אלקטרה,739037,04/10/2018,3,88000,82191,7.06,174.26,0.85,,,,2640
,גב ים,759019,24/04/2018,1,160400,156582,2.43,38.18,1.51,,,,1604
,פיבי,763011,13/09/2018,10,9801,9116,7.51,68.49,0.83,,,,980.1
,שופרסל,777037,08/05/2018,58,2316,1754.1897,32.02,325.84,0.91,,,,1343.28
,דלק רכב,829010,09/10/2018,39,2050,2495,-17.83,-173.55,0.09,,,,799.5
,סאמיט,1081686,20/09/2018,32,3353,3019.75,11.03,106.63,2.38,,,,1072.96
,מג'יק,1082312,05/09/2018,35,3069,2892.3714,6.1,61.82,3.47,,,,1074.15
,גילת,1082510,24/04/2018,67,3331,2983.5522,11.64,232.79,0.27,,,,2231.77
,פרטנר,1083484,24/04/2017,62,1775,1910,-7.06,-83.7,1.6,,,,1100.5
,חילן,1084698,04/10/2018,37,8622,7845,9.9,287.48,1.42,,,,3190.14
,סאפיינס,1087659,16/10/2018,33,4161,3134,32.76,338.9,1.51,30/10/2018,4.95,USD,1373.13
,מיטרוניקס,1091065,20/09/2018,57,2291,1701.5614,34.64,335.98,3.05,,,,1305.87
,אפריקה נכסים,1091354,21/02/2018,11,9609,8693,10.53,100.75,2,,,,1056.99
,קמהדע,1094119,18/06/2018,54,2053,1853,10.79,107.99,-0.09,,,,1108.62
,ביג,1097260,18/04/2018,5,24170,22567,7.1,80.14,1.72,,,,1208.5
,רמי לוי,1104249,27/09/2018,6,18610,15627.3333,19.08,178.95,0.54,,,,1116.6
,סלע נדלן,1109644,27/09/2018,140,617.6,683.9143,-9.69,-92.84,0.75,,,,864.64
,סודהסטרים,1121300,14/04/2017,7,52690,18440,185.73,2397.5,0.28,,,,3688.3
,בראק אן וי,1121607,16/01/2018,4,40010,38020,5.23,79.59,-0.22,,,,1600.4
,קרסו,1123850,26/04/2018,44,1916,2309,-17.02,-172.92,-0.93,,,,843.04
,הר.דאו-תעשיה,1128172,29/11/2017,46,10240,8104.1739,26.35,982.48,1.58,,,,4710.4
,אינרום,1132356,17/09/2018,58,1297,1621.6207,-20.01,-188.28,0.85,,,,752.26
,שפיר הנדסה,1133875,08/04/2018,216,1329,1372.1667,-3.14,-93.24,3.02,,,,2870.64
,קנון,1134139,26/03/2018,9,5998,8715,-31.17,-244.53,-0.06,,,,539.82
,ביוטיים,1136365,23/04/2018,113,726.6,881.9027,-17.6,-175.49,3.25,,,,821.06
