,שם ני''ע,TICNUM,ת. פעולה אחרונה,כמות/ע.נ.,מחיר/שער,שער עלות מותאמת,שינוי משער עלות-באחוזים,שינוי משער עלות-בשקלים,אחוז שינוי יומי,תאריך הכנסה לקבל,סכום הכנסה לקבל,מטבע הכנסה לקבל,שווי בש''ח,,,,
,,,,,מניות,,,,,,,,,,,,
,גזית גלוב,126011,,,גזית גלוב,126011,02/10/2018,99,2941,3469,-15.22,-522.72,-1.96,,,,2911.59
,מבטח שמיר,127019,04/12/2018,14,6744,6835,-1.33,-12.74,-1.31,,,,944.16,,,,
,וואן טכנולוגיות,161018,29/11/2018,7,13620,14250,-4.42,-44.1,-0.8,13/12/2018,9.93,שח,953.4,,,,
,נטו אחזקות,168013,31/10/2018,3,32050,30730,4.29,39.59,0.12,,,,961.5,,,,
,כלכלית ירושלים,198010,26/02/2018,184,1010,883,14.38,233.67,-0.68,,,,1858.4,,,,
,כלל עסקי ביטוח,224014,27/09/2018,17,6535,6752,-3.21,-36.89,-0.98,,,,1110.95,,,,
,בזק,230011,10/10/2018,670,407.2,515.794,-21.05,-727.57,-2.7,,,,2728.24,,,,
,ישראמקו יהש,232017,05/06/2018,7100,41.6,41.5273,0.17,5.16,-1.65,,,,2953.6,,,,
,אשטרום נכסים,251017,04/12/2018,61,1604,1624,-1.23,-12.2,-1.29,,,,978.44,,,,
,תדיראן הולדינגס,258012,04/12/2018,11,8436,8652,-2.49,-23.76,-2.54,,,,927.96,,,,
,נייס,273011,26/02/2018,21,43130,33700,27.98,1980.29,-1.57,,,,9057.3,,,,
,כיל,281014,04/12/2018,180,2121,1498.7667,41.51,1120.01,-2.61,19/12/2018,29.01,שח,3817.8,,,,
,ארקו החזקות,310011,01/11/2018,507,169.2,192,-11.87,-115.59,-3.03,,,,857.84,,,,
,דנאל כא,314013,03/12/2018,6,18390,16625,10.61,105.89,-1.65,17/12/2018,18,שח,1103.4,,,,
,מליסרון,323014,02/12/2018,41,16010,15002.122,6.71,413.22,-1.29,,,,6564.1,,,,
,ישראל קנדה,434019,04/12/2018,321,304.8,309.1994,-1.42,-14.12,-1.16,,,,978.41,,,,
,מטריקס,445015,05/11/2018,23,4381,4344,0.85,8.5,-0.52,,,,1007.63,,,,
,מנורה מב החז,566018,12/04/2018,39,4721,4693.9744,0.57,10.53,-2.51,,,,1841.19,,,,
,אפקון החזקות,578013,04/12/2018,5,19080,19080,0,,-0.46,,,,954,,,,
,הראל השקעות,585018,12/04/2018,72,2822,2702,4.44,86.39,-2.75,,,,2031.84,,,,
