,שם ני''ע,TICNUM,ת. פעולה אחרונה,כמות/ע.נ.,מחיר/שער,שער עלות מותאמת,שינוי משער עלות-באחוזים,שינוי משער עלות-בשקלים,אחוז שינוי יומי,תאריך הכנסה לקבל,סכום הכנסה לקבל,מטבע הכנסה לקבל,שווי בש''ח,,,,,,,,
,,,,,מניות,,,,,,,,,,,,,,,,
,כלל עסקי ביטוח,224014,,,,224014,01/02/2018,68,6535,6518.5735,0.25,11.17,-0.98,,,,4443.8,,,,
,מבני תעשיה,226019,23/04/2018,204,552.3,473.598,16.61,160.55,-0.16,,,,1126.69,,,,,,,,
,אשטרום נכסים,251017,16/09/2018,63,1604,1569.381,2.2,21.8,-1.29,,,,1010.52,,,,,,,,
,פורמולה מערכות,256016,20/06/2018,16,14700,14758.6875,-0.39,-9.39,-1.2,,,,2352,,,,,,,,
,סקופ,288019,14/06/2018,11,10110,9513,6.27,65.66,-2.03,,,,1112.1,,,,,,,,
,אלרוב נדלן,387019,12/04/2018,8,11310,11836.875,-4.45,-42.15,-1.04,,,,904.8,,,,,,,,
,אלוני חץ,390013,02/12/2018,37,3569,3304.7568,7.99,97.76,-1.13,09/12/2018,7.77,שח,1320.53,,,,,,,,
,יואל,583013,22/01/2018,13,23260,21468.4615,8.34,232.89,-1.18,,,,3023.8,,,,,,,,
,קרור,621011,26/04/2018,10,8892,10810,-17.74,-191.8,-2.79,,,,889.2,,,,,,,,
,דלתא,627034,04/12/2018,8,9848,11759.25,-16.25,-152.9,-0.72,05/12/2018,3.1,שח,787.84,,,,,,,,
,אלקו,694034,23/04/2018,14,6572,7400,-11.18,-115.92,-0.55,,,,920.08,,,,,,,,
,נכסים ובנין,699017,23/04/2018,4,29840,29120,2.47,28.79,5.92,,,,1193.6,,,,,,,,
,נורסטאר,723007,23/04/2018,15,5398,6690,-19.31,-193.8,-3.57,,,,809.7,,,,,,,,
,אלקטרה,739037,04/10/2018,3,85770,82191,4.35,107.36,-1.79,,,,2573.1,,,,,,,,
,גב ים,759019,24/04/2018,1,167800,156582,7.16,112.17,-1.23,,,,1678,,,,,,,,
,פיבי,763011,13/09/2018,10,9898,9116,8.57,78.19,-0.96,,,,989.8,,,,,,,,
,שופרסל,777037,08/05/2018,58,2418,1754.1897,37.84,385,-1.74,,,,1402.44,,,,,,,,
,דלק רכב,829010,09/10/2018,39,1881,2495,-24.6,-239.46,-2.38,,,,733.59,,,,,,,,
,סאמיט,1081686,20/09/2018,32,3331,3019.75,10.3,99.59,-1.74,,,,1065.92,,,,,,,,
,מג'יק,1082312,05/09/2018,35,3018,2892.3714,4.34,43.97,-0.26,,,,1056.3,,,,,,,,
,גילת,1082510,24/04/2018,67,3309,2983.5522,10.9,218.05,-5.26,,,,2217.03,,,,,,,,
,פרטנר,1083484,24/04/2017,62,1985,1910,3.92,46.49,-1.39,,,,1230.7,,,,,,,,
,חילן,1084698,04/10/2018,37,8870,7845,13.06,379.24,-2.54,,,,3281.9,,,,,,,,
,סאפיינס,1087659,01/11/2018,33,4422,3119,41.77,429.98,-1.99,,,,1459.26,,,,,,,,
,מיטרוניקס,1091065,20/09/2018,57,2247,1701.5614,32.05,310.89,-0.08,,,,1280.79,,,,,,,,
,אפריקה נכסים,1091354,21/02/2018,11,9897,8693,13.85,132.43,-0.53,,,,1088.67,,,,,,,,
,קמהדע,1094119,18/06/2018,54,1949,1853,5.18,51.83,-0.15,,,,1052.46,,,,,,,,
,ביג,1097260,18/04/2018,5,23610,22567,4.62,52.14,0.25,,,,1180.5,,,,,,,,
,רמי לוי,1104249,27/09/2018,6,18960,15627.3333,21.32,199.96,-1.14,,,,1137.6,,,,,,,,
,סלע נדלן,1109644,29/11/2018,140,613.3,677.1857,-9.43,-89.43,-0.68,,,,858.62,,,,,,,,
,סודהסטרים,1121300,14/04/2017,7,53640,18440,190.88,2463.99,0.14,,,,3754.8,,,,,,,,
,בראק אן וי,1121607,16/01/2018,4,37810,38020,-0.55,-8.4,-0.99,,,,1512.4,,,,,,,,
,קרסו,1123850,26/04/2018,44,1669,2309,-27.71,-281.6,-1.24,,,,734.36,,,,,,,,
,אינרום,1132356,25/11/2018,58,1289,1621.6207,-20.51,-192.92,0.07,11/12/2018,10.63,שח,747.62,,,,,,,,
,שפיר הנדסה,1133875,08/04/2018,216,1179,1372.1667,-14.07,-417.24,-1.91,,,,2546.64,,,,,,,,
,קנון,1134139,26/03/2018,9,6640,8715,-23.8,-186.75,2.05,,,,597.6,,,,,,,,
,ביוטיים,1136365,23/04/2018,113,562.8,881.9027,-36.18,-360.58,4.76,,,,635.96,,,,,,,,

