Date,Open,High,Low,Close,Adj Close,Volume
1992-09-30,172.490005,183.800003,172.490005,183.679993,183.679993,0
1992-10-31,187.190002,189.300003,171.369995,184.550003,184.550003,0
1992-11-30,184.110001,195.960007,179.210007,195.960007,195.960007,0
1992-12-31,195.960007,215.059998,195.960007,202.559998,202.559998,0
1993-01-31,209.529999,218.160004,184.190002,194.179993,194.179993,0
1993-02-28,191.339996,210,191.339996,206.490005,206.490005,0
1993-03-31,206.610001,216.929993,205.089996,205.809998,205.809998,0
1993-04-30,207.619995,217.190002,198.779999,203.339996,203.339996,0
1993-05-31,203.529999,205.880005,185.75,198.220001,198.220001,0
1993-06-30,197.179993,199.940002,182.330002,186.089996,186.089996,0
1993-07-31,188.960007,208.919998,188.690002,208.759995,208.759995,0
1993-08-31,210.25,232.449997,210.25,229.610001,229.610001,0
1993-09-30,229.610001,240.429993,225.660004,237.25,237.25,0
1993-10-31,240.820007,255.740005,238.809998,240.910004,240.910004,0
1993-11-30,240.699997,252.990005,234.270004,247.669998,247.669998,0
1993-12-31,249.399994,257.51001,242.229996,254.419998,254.419998,0
1994-01-31,254.470001,254.509995,214.809998,222.289993,222.289993,0
1994-02-28,223.160004,228.880005,190.75,208.070007,208.070007,0
1994-03-31,208.070007,223.350006,208.070007,220.529999,220.529999,0
1994-04-30,228.960007,229.009995,186.100006,187.610001,187.610001,0
1994-05-31,187.619995,189.199997,158.110001,159.399994,159.399994,0
1994-06-30,159.399994,181.649994,148.009995,178.839996,178.839996,0
1994-07-31,184.710007,199.889999,165.190002,184.169998,184.169998,0
1994-08-31,184.190002,199.880005,182.759995,187.5,187.5,0
1994-09-30,193.050003,195.300003,178.889999,192.089996,192.089996,0
1994-10-31,192.149994,192.149994,164.949997,171,171,0
1994-11-30,170.600006,177.410004,159.820007,173.570007,173.570007,0
1994-12-31,174.199997,175.800003,153.350006,174.669998,174.669998,0
1995-01-31,174.729996,175.559998,145.029999,145.449997,145.449997,0
1995-02-28,145.589996,171.100006,144.669998,166.100006,166.100006,0
1995-03-31,161.020004,172.919998,158.110001,172.559998,172.559998,0
1995-04-30,174.029999,181.949997,170.259995,180.559998,180.559998,0
1995-05-31,180.789993,193.740005,180.789993,187.330002,187.330002,0
