,שם ני''ע,מספר ני''ע,ת. פעולה אחרונה,כמות/ע.נ.,מחיר/שער,שער עלות מותאמת,שינוי משער עלות-באחוזים,שינוי משער עלות-בשקלים,אחוז שינוי יומי,תאריך הכנסה לקבל,סכום הכנסה לקבל,מטבע הכנסה לקבל,שווי בש''ח
,,,,,מניות,,,,,,,,
,כלל עסקי ביטוח,224014,01/02/2018,68,5681,6518.5735,-12.84,-569.55,-5.82,,,,3863.08
,מבני תעשיה,226019,23/04/2018,204,523.9,473.598,10.62,102.61,-4.1,,,,1068.76
,אשטרום נכסים,251017,16/09/2018,63,1550,1569.381,-1.23,-12.21,-4.12,,,,976.5
,פורמולה מערכות,256016,20/06/2018,16,14070,14758.6875,-4.66,-110.19,-3.48,,,,2251.2
,סקופ,288019,14/06/2018,11,9401,9513,-1.17,-12.32,-3.32,,,,1034.11
,אלרוב נדלן,387019,16/12/2018,8,10820,11761.125,-8,-75.29,-1.29,,,,865.6
,אלוני חץ,390013,09/12/2018,37,3551,3283.7568,8.13,98.87,-3.32,,,,1313.87
,יואל,583013,22/01/2018,13,22940,21468.4615,6.85,191.29,-3.22,,,,2982.2
,קרור,621011,26/04/2018,10,9007,10810,-16.67,-180.3,-5.12,,,,900.7
,דלתא,627034,05/12/2018,8,9260,11720.5,-20.99,-196.84,-5.7,,,,740.8
,אלקו,694034,23/04/2018,14,6950,7400,-6.08,-63,-4.86,,,,973
,נכסים ובנין,699017,23/04/2018,4,28210,29120,-3.12,-36.4,-1.8,,,,1128.4
,נורסטאר,723007,18/12/2018,15,4400,6690,-34.23,-343.5,-7.95,03/01/2019,21.37,שח,660
,אלקטרה,739037,04/10/2018,3,83190,82191,1.21,29.96,-2.51,,,,2495.7
,גב ים,759019,24/04/2018,1,162000,156582,3.46,54.17,-2.46,,,,1620
,פיבי,763011,17/12/2018,10,9499,9014.5,5.37,48.44,-3.46,,,,949.9
,שופרסל,777037,08/05/2018,58,2415,1754.1897,37.67,383.26,-3.6,,,,1400.7
,דלק רכב,829010,09/10/2018,39,1563,2495,-37.35,-363.48,-3.83,,,,609.57
,סאמיט,1081686,13/12/2018,32,3363,3018.625,11.4,110.19,-3.44,,,,1076.16
,מג'יק,1082312,05/09/2018,35,2861,2892.3714,-1.08,-10.97,-0.94,,,,1001.35
,גילת,1082510,24/04/2018,67,3257,2983.5522,9.16,183.21,-7.06,,,,2182.19
,פרטנר,1083484,24/04/2017,62,1952,1910,2.19,26.03,-3.94,,,,1210.24
,חילן,1084698,04/10/2018,37,8317,7845,6.01,174.63,-3.87,,,,3077.29
,סאפיינס,1087659,01/11/2018,33,4078,3119,30.74,316.46,-3.38,,,,1345.74
,מיטרוניקס,1091065,20/09/2018,57,2130,1701.5614,25.17,244.21,-4.08,,,,1214.1
,אפריקה נכסים,1091354,21/02/2018,11,8988,8693,3.39,32.45,-3.67,,,,988.68
,קמהדע,1094119,18/06/2018,54,1849,1853,-0.21,-2.16,-2.1,,,,998.46
,ביג,1097260,18/04/2018,5,21420,22567,-5.08,-57.35,-2.8,,,,1071
,רמי לוי,1104249,13/12/2018,6,18800,15507.6667,21.23,197.53,-3.4,,,,1128
,סלע נדלן,1109644,29/11/2018,140,605,677.1857,-10.65,-101.05,-3.23,,,,847
,בראק אן וי,1121607,16/01/2018,4,36700,38020,-3.47,-52.8,-4.16,,,,1468
,קרסו,1123850,26/04/2018,44,1523,2309,-34.04,-345.84,-2.62,,,,670.12
,אינרום,1132356,11/12/2018,58,1155,1603.2931,-27.96,-260.01,-4.58,,,,669.9
,שפיר הנדסה,1133875,08/04/2018,216,1118,1372.1667,-18.52,-549,-3.93,,,,2414.88
,קנון,1134139,19/12/2018,9,5880,8575.5556,-31.43,-242.6,-4.57,,,,529.2
,ביוטיים,1136365,23/04/2018,113,360.6,881.9027,-59.11,-589.07,-9.59,,,,407.48
