הרכב מדד -  משקל ני''ע ת"א-125,,,,,,,,,,,,,,,,,,
נכון ל- 20/12/2018
שם,סימול ,מס' ני''ע,ISIN,משקל (%),שווי שוק (במיליוני ש''ח),שער בסיס (באגורות),שער נעילה (באגורות),יום אקס,מחזור יומי ממוצע בחצי שנה אחרונה (ש''ח),חציון מחזור יומי בחצי שנה אחרונה (ש''ח),הון רשום למסחר,אחוז החזקות ציבור,אחוז החזקות הציבור למדד,ממ''מ,כמות מניות צפה למדד,פקטור משקל,שווי החזקות הציבור במיליוני ש''ח,מועד עדכון ממ''מ אחרון
נייס,נייס,273011,IL0002730112,5.56769,25604,41400.00,40400.0000,לא,43487007,39470498,61846238,100.00,100.00,61782464.00,61782464.00,0.71378,24986,09/12/2018
לאומי,לאומי,604611,IL0006046119,5.56451,35981,2409.00,2415.0000,לא,78586107,74477984,1493608816,99.96,100.00,1494747687.00,1494747687.00,0.50673,36056,09/12/2018
פועלים,פעלים,662577,IL0006625771,5.24296,33503,2512.00,2500.0000,לא,56518688,46825004,1333703474,84.20,80.00,1333703474.00,1066962779.20,0.64145,28074,09/12/2018
פריגו,פרגו,1130699,IE00BGH1M568,5.00111,29577,21180.00,20100.0000,לא,24340156,16877298,139647276,93.03,100.00,139647276.00,139647276.00,0.55445,26113,09/12/2018
כיל,כיל.,281014,IL0002810146,4.75522,25988,2030.00,2008.0000,לא,45405503,39318982,1280201147,54.11,60.00,1280201147.00,768120688.20,1,13910,09/12/2018
דיסקונט       א,דסקנט,691212,IL0006912120,4.48340,14702,1263.00,1243.0000,לא,34109426,30397912,1164016993,100.00,100.00,1164016993.00,1164016993.00,1,14469,09/12/2018
טבע,טבע,629014,IL0006290147,4.34140,70591,6480.00,6160.0000,לא,52985631,43026526,1089364466,99.65,100.00,1018732488.00,1018732488.00,0.21565,66870,09/12/2018
אלביט מערכות,אלבמע,1081124,IL0010811243,3.67830,20103,47020.00,45490.0000,לא,24416837,19480647,42753182,54.20,60.00,42753182.00,25651909.20,1,10541,09/12/2018
מזרחי טפחות,מזטפ,695437,IL0006954379,2.80907,15354,6580.00,6540.0000,לא,26350877,24530884,233343551,55.87,60.00,233314050.00,139988430.00,1,8526,09/12/2018
בזק,בזק,230011,IL0002300114,2.54360,10426,377.00,369.0000,לא,28520161,24568951,2765485753,73.66,80.00,2765485753.00,2212388602.40,1,7517,09/12/2018
עזריאלי קבוצה,עזרל,1119478,IL0011194789,2.45034,22957,18930.00,18730.0000,לא,14400319,10601707,121272760,30.13,35.00,121272760.00,42445466.00,1,6844,09/12/2018
אורמת טכנו,ארמת,1134402,US6866881021,2.37608,9739,19220.00,19580.0000,לא,10539879,7723914,50672520,78.29,80.00,50672520.00,40538016.00,1,7768,09/12/2018
טאואר,טאואר,1082379,IL0010823792,1.74683,5728,5460.00,5375.0000,לא,19045253,15328042,104908828,100.00,100.00,104908828.00,104908828.00,1,5639,09/12/2018
פז נפט,פזנפט,1100007,IL0011000077,1.74253,5714,56200.00,55150.0000,לא,12926322,10991394,10167160,99.88,100.00,10167160.00,10167160.00,1,5600,09/12/2018
דלק קידוחים יהש,דלקד,475020,IL0004750209,1.69140,12325,1050.00,1020.0000,לא,10090922,7512128,1173814691,39.88,45.00,1173814691.00,528216610.95,1,4775,09/12/2018
איי.אפ.אפ,אפאפ,1155019,US4595061015,1.62631,55069,51650.00,48890.0000,לא,16197851,4901096,106618826,82.63,100.00,106618826.00,106618826.00,0.09684,43072,09/12/2018
בינלאומי,בנלמ,593038,IL0005930388,1.51638,8287,8260.00,8108.0000,לא,11152503,9248666,100330040,51.66,60.00,100330040.00,60198024.00,1,4202,09/12/2018
אלוני חץ,אלחץ,390013,IL0003900136,1.50044,6151,3594.00,3551.0000,לא,9134870,6978342,171142555,65.33,80.00,171121870.00,136897496.00,1,3970,09/12/2018
שופרסל,שפרסל,777037,IL0007770378,1.41071,5830,2448.00,2415.0000,לא,13244368,10166735,238156416,66.71,80.00,236206414.00,188965131.20,1,3837,09/12/2018
חברה לישראל,חל,576017,IL0005760173,1.36638,7468,97000.00,94430.0000,לא,12579302,11291716,7698467,47.50,60.00,7698467.00,4619080.20,1,3453,09/12/2018
ישראמקו     יהש,ישרמק,232017,IL0002320179,1.33034,5453,42.10,41.4000,לא,7869938,5820146,12952285015,77.30,80.00,12952285015.00,10361828012.00,1,4145,09/12/2018
שטראוס,שטרס,746016,IL0007460160,1.32725,9678,8399.00,8375.0000,לא,8459430,6075798,115229276,42.34,45.00,115150671.00,51817801.95,1,4086,09/12/2018
לייבפרסון,לפסן,1123017,US5381461012,1.22870,4029,7294.00,7063.0000,לא,5490161,3382832,55237805,91.27,100.00,55237805.00,55237805.00,1,3561,09/12/2018
אופקו הלת',אפקו,1129543,US68375N1037,1.21608,6646,1191.00,1020.0000,לא,7025117,5844279,558026144,54.40,60.00,558026144.00,334815686.40,1,3096,09/12/2018
ארפורט סיטי,ארפט,1095835,IL0010958358,1.14860,6277,4774.00,4774.0000,לא,6122050,3991658,131489390,54.94,60.00,131489390.00,78893634.00,1,3449,09/12/2018
בזן,בזן,2590248,IL0025902482,1.07267,5863,183.00,182.5000,לא,9301697,7519170,3203836497,51.50,60.00,3203448371.00,1922069022.60,1,3011,09/12/2018
הראל השקעות,הראל,585018,IL0005850180,1.05244,5752,2683.00,2649.0000,לא,6910042,5654172,214378773,50.51,60.00,214378773.00,128627263.80,1,2868,09/12/2018
גזית גלוב,גלוב,126011,IL0001260111,1.01371,5537,2900.00,2860.0000,לא,9561289,6720796,190883264,47.03,60.00,191038436.00,114623061.60,1,2567,09/12/2018
דלק קבוצה,דלקקב,1084128,IL0010841281,1.01106,7368,61480.00,58840.0000,לא,11574927,9095755,11983595,37.39,45.00,11983595.00,5392617.75,1,2636,09/12/2018
הפניקס,פנקס,767012,IL0007670123,0.99331,5429,2120.00,2080.0000,לא,6757091,5061352,256095297,58.46,60.00,256065800.00,153639480.00,1,3114,09/12/2018
מליסרון,מלסרן,323014,IL0003230146,0.97230,7085,15820.00,15540.0000,לא,6521821,4139531,44785583,35.51,45.00,44785583.00,20153512.35,1,2471,09/12/2018
אמות,אמות,1097278,IL0010972789,0.88524,6462,1860.00,1842.0000,לא,6096836,5202811,347445508,40.27,45.00,346810856.00,156064885.20,1,2577,09/12/2018
פרטנר,פרטנר,1083484,IL0010834849,0.77965,3197,1958.00,1952.0000,לא,6629950,5044844,163296886,69.46,80.00,163212876.00,130570300.80,1,2214,09/12/2018
ריט 1,ריט1,1098920,IL0010989205,0.76718,2516,1430.00,1400.0000,לא,3523872,2943355,175919196,98.53,100.00,175919196.00,175919196.00,1,2427,09/12/2018
כלל עסקי ביטוח,כללבט,224014,IL0002240146,0.76503,3136,5642.00,5681.0000,לא,3519761,2540689,55578867,70.17,80.00,55578867.00,44463093.60,1,2216,09/12/2018
נובה,נובה,1084557,IL0010845571,0.75287,2469,8795.00,8569.0000,לא,5182289,3588858,28069844,100.00,100.00,28069844.00,28069844.00,1,2405,09/12/2018
יואל,יואל,583013,IL0005830133,0.73670,4026,23310.00,22940.0000,לא,2626587,1584010,17272360,47.72,60.00,17272360.00,10363416.00,1,1891,09/12/2018
רציו      יהש,רצו,394015,IL0003940157,0.73370,3007,267.60,259.0000,לא,5962742,3774606,1123817264,78.89,80.00,1123817267.00,899053813.60,1,2296,09/12/2018
